--
-- Data for TOC Entry ID 31 (OID 1153543)
--
-- Name: tauth Type: TABLE DATA Owner: osirisdba
--


COPY tauth FROM stdin;
64193	Allison	Allison	Ira S.	0	 
64196	Almagro Basch	Almagro Basch	Marti%An	0	 
64197	Almagro Basch	Almagro Basch	Marti%An	0	 
64198	Almagro Basch	Almagro Basch	Marti%An	0	 
64199	Almagro Basch	Almagro Basch	Marti%An	0	 
64200	Almagro Basch	Almagro Basch	Marti%An	0	 
64201	Almagro Basch	Almagro Basch	M.	0	 
64201	Arribas	Arribas	A.	1	 
64202	Almeida	Almeida	Anto%Anio De	0	 
64202	Camarate Franca	Camarate Franc%Ba	J.	1	 
64203	Almela Samper	Almela Samper	Antonio	0	 
64204	Alonso Del Real Y Ramos	Alonso Del Real Y Ramos	Carlos	0	 
64205	Alpysbaev	Alpysbaev	Kh. A.	0	 
64206	Alpysbaev	Alpysbaev	Kh. A.	0	 
64207	Alpysbaev	Alpysbaev	Kh. A.	0	 
64208	Alpysbaev	Alpysbaev	Kh. A.	0	 
64209	Alpysbaev	Alpysbaev	Kh. A.	0	 
64210	Alpysbaev	Alpysbaev	Kh. A.	0	 
64211	Alpysbaev	Alpysbaev	Kh. A.	0	 
64212	Alpysbaev	Alpysbaev	Kh. K.	0	 
64213	Al'ter	Al'ter	S. P.	0	 
64214	Altmeyer	Altmeyer	Hans	0	 
64215	Altuna	Altuna	Jesu%As	0	 
64216	Altuna	Altuna	Jesu%As	0	 
64217	Altuna	Altuna	Jesu%As	0	 
64218	Altuna	Altuna	Jesu%As	0	 
64219	Alvarez	Alvarez	Ticul	0	 
64220	Alvarez	Alvarez	T.	0	 
64220	Ferrusquia V.	Ferrusquia V.	I.	1	 
64221	Amadon	Amadon	Dean	0	 
64222	Ambrosetti	Ambrosetti	Pierluigi	0	 
64223	Ambrosetti	Ambrosetti	Pierluigi	0	 
64224	Ambrosetti	Ambrosetti	Pierluigi	0	 
64225	An	An	Chih-Min	0	 
64226	An	An	Chih-Min	0	 
64227	An	An	Uzhi-Shen	0	 
64228	Anastas'eva	Anastas'eva	O. M.	0	 
64229	Anati	Anati	E.	0	 
64229	Haas	Haas	N.	1	 
64230	Anatol'eva	Anatol'eva	A. I.	0	 
64231	Anciaux De Faveaux	Anciaux De Faveaux	Dom Adalbert	0	 
64232	Anciaux De Faveaux	Anciaux De Faveaux	Dom Adalbert	0	 
64233	Andelkovic	And%Selkovic%A	Jelena	0	 
64234	Andelkovic	And%Selkovic%A	Jelena	0	 
64235	Andelkovic	And%Selkovic%A	Jelena	0	 
64236	Andelkovic	And%Selkovic%A	Jelena	0	 
64237	Andersen	Andersen	Bjo%Frn G.	0	 
64238	Andersen	Andersen	Raoul R.	0	 
64239	Anderson	Anderson	Albert J.	0	 
64240	Anderson	Anderson	Duane C.	0	 
64241	Anderson	Anderson	Edward G.	0	 
64242	Anderson	Anderson	Elaine	0	 
64243	Anderson	Anderson	Elaine	0	 
64244	Anderson	Anderson	J. E.	0	 
64245	Anderson	Anderson	J. M.	0	 
64246	Anderson	Anderson	J. M.	0	 
64247	Anderson	Anderson	Sydney	0	 
64248	Anderson	Anderson	Sydney	0	 
64249	Anderson	Anderson	S.	0	 
64249	Jones	Jones	J. K., Jr., (Eds.)	1	 
64250	Andrews	Andrews	Roy Chapman	0	 
64251	Andrews	Andrews	S. M.	0	 
64251	Gardiner	Gardiner	B. G.	1	 
64251	Miles	Miles	R. S.	2	 
64251	Patterson	Patterson	C.	3	 
64252	Andrianov	Andrianov	K. S.	0	 
64253	Andrieu	Andrieu	P.	0	 
64253	Dubois	Dubois	J.	1	 
64254	Andrik	Andrik	P.	0	 
64254	Hanulik	Hanulik	M.	1	 
64254	Vittek	Vittek	J.	2	 
64255	Andrist	Andrist	David	0	 
64255	Fluckiger	Flu%Fckiger	W.	1	 
64255	Andrist	Andrist	A.	2	 
64256	De La Salle Angel	De La Salle Angel	Basilio	0	 
64257	De La Salle Angel	De La Salle Angel	Basilio	0	 
64258	Angel	Angel	J. Lawrence	0	 
64259	Angel	Angel	J. Lawrence	0	 
64260	Angell	Angell	Carlton Watson	0	 
64261	Angelov	Angelov	E. V.	0	 
64262	Angelroth	Angelroth	Henri	0	 
64263	Angelroth	Angelroth	Henri	0	 
64264	Angelroth	Angelroth	Henri	0	 
64265	Angelroth	Angelroth	Henri	0	 
64266	Angelroth	Angelroth	Henri	0	 
64267	Anghi	Anghi	Csaba G.	0	 
64268	Angress	Angress	Shimon	0	 
64268	Reed	Reed	C. A.	1	 
64269	Anisiutkin	Anisiutkin	N. K.	0	 
64270	Anisiutkin	Anisiutkin	N. K.	0	 
64271	Von Ankel	Von Ankel	Friderun	0	 
64272	Annelli	Annelli	F.	0	 
64273	Annibaldi	Annibaldi	G.	0	 
64273	Anokhina	Anokhina	Z. V.	1	 
64274	Anon.	Anon.	\N	0	 
64275	Anon.	Anon.	\N	0	 
64276	Anon.	Anon.	\N	0	 
64277	Anon.	Anon.	\N	0	 
64278	Anon.	Anon.	\N	0	 
64279	Anon.	Anon.	\N	0	 
64280	Anon.	Anon.	\N	0	 
64281	Anon.	Anon.	\N	0	 
64282	Anon.	Anon.	\N	0	 
64283	Anon.	Anon.	\N	0	 
64284	Anon.	Anon.	\N	0	 
64285	Anon.	Anon.	\N	0	 
64286	Anon.	Anon.	\N	0	 
64287	Anon.	Anon.	\N	0	 
64288	Anon.	Anon.	\N	0	 
64289	Anon.	Anon.	\N	0	 
64290	Anon.	Anon.	\N	0	 
64291	Anon.	Anon.	\N	0	 
64292	Anon.	Anon.	\N	0	 
64293	Anon.	Anon.	\N	0	 
64294	Anon.	Anon.	\N	0	 
64295	Anon.	Anon.	\N	0	 
64296	Anon.	Anon.	\N	0	 
64297	Anon.	Anon.	\N	0	 
64298	Anon.	Anon.	\N	0	 
64299	Anon.	Anon.	\N	0	 
64300	Anon.	Anon.	\N	0	 
64301	Anon.	Anon.	\N	0	 
64302	Anon.	Anon.	\N	0	 
64303	Anon.	Anon.	\N	0	 
64304	Anon.	Anon.	\N	0	 
64305	Anon.	Anon.	\N	0	 
64306	Anon.	Anon.	\N	0	 
64307	Anon.	Anon.	\N	0	 
64308	Anon.	Anon.	\N	0	 
64309	Anon.	Anon.	\N	0	 
64310	Anon.	Anon.	\N	0	 
64311	Anon.	Anon.	\N	0	 
64312	Anon.	Anon.	\N	0	 
64313	Anon.	Anon.	\N	0	 
64314	Anon.	Anon.	\N	0	 
64315	Anon.	Anon.	\N	0	 
64316	Anon.	Anon.	\N	0	 
64317	Anon.	Anon.	\N	0	 
64318	Anon.	Anon.	\N	0	 
64319	Anon.	Anon.	\N	0	 
64320	Anon.	Anon.	\N	0	 
64321	Anon.	Anon.	\N	0	 
64322	Anon.	Anon.	\N	0	 
64323	Anon.	Anon.	\N	0	 
64324	Anon.	Anon.	\N	0	 
64325	Anon.	Anon.	\N	0	 
64326	Anon.	Anon.	\N	0	 
64327	Anon.	Anon.	\N	0	 
64328	Anon.	Anon.	\N	0	 
64329	Anon.	Anon.	\N	0	 
64330	Anon.	Anon.	\N	0	 
64331	Anon.	Anon.	\N	0	 
64332	Anon.	Anon.	\N	0	 
64333	Anon.	Anon.	\N	0	 
64334	Anon.	Anon.	\N	0	 
64335	Anon.	Anon.	\N	0	 
64336	Anon.	Anon.	\N	0	 
64337	Anon.	Anon.	\N	0	 
64338	Anon.	Anon.	\N	0	 
64339	Anon.	Anon.	\N	0	 
64340	Anon.	Anon.	\N	0	 
64341	Anon.	Anon.	\N	0	 
64342	Anon.	Anon.	\N	0	 
64343	Anon.	Anon.	\N	0	 
64344	Anon.	Anon.	\N	0	 
64345	Anon.	Anon.	\N	0	 
64346	Anon.	Anon.	\N	0	 
64347	Anon.	Anon.	\N	0	 
64348	Anon.	Anon.	\N	0	 
64349	Anon.	Anon.	\N	0	 
64350	Anon.	Anon.	\N	0	 
64351	Anon.	Anon.	\N	0	 
64352	Anon.	Anon.	\N	0	 
64353	Anon.	Anon.	\N	0	 
64354	Anon.	Anon.	\N	0	 
64355	Anon.	Anon.	\N	0	 
64356	Anon.	Anon.	\N	0	 
64357	Anon.	Anon.	\N	0	 
64358	Anon.	Anon.	\N	0	 
64359	Anon.	Anon.	\N	0	 
64360	Anon.	Anon.	\N	0	 
64361	Anon.	Anon.	\N	0	 
64362	Anon.	Anon.	\N	0	 
64363	Anon.	Anon.	\N	0	 
64364	Anon.	Anon.	\N	0	 
64365	Anon.	Anon.	\N	0	 
64366	Anon.	Anon.	\N	0	 
64367	Anon.	Anon.	\N	0	 
64368	Anon.	Anon.	\N	0	 
64369	Anon.	Anon.	\N	0	 
64370	Anon.	Anon.	\N	0	 
64371	Anon.	Anon.	\N	0	 
64372	Anon.	Anon.	\N	0	 
64373	Anon.	Anon.	\N	0	 
64374	Anon.	Anon.	\N	0	 
64375	Anon.	Anon.	\N	0	 
64376	Anon.	Anon.	\N	0	 
64377	Anon.	Anon.	\N	0	 
64378	Anon.	Anon.	\N	0	 
64379	Anon.	Anon.	\N	0	 
64380	Anon.	Anon.	\N	0	 
64381	Anon.	Anon.	\N	0	 
64382	Anon.	Anon.	\N	0	 
64383	Anon.	Anon.	\N	0	 
64384	Anon.	Anon.	\N	0	 
64385	Anon.	Anon.	\N	0	 
64386	Anon.	Anon.	\N	0	 
64387	Anon.	Anon.	\N	0	 
64388	Anon.	Anon.	\N	0	 
64389	Anon.	Anon.	\N	0	 
64390	Anon.	Anon.	\N	0	 
64391	Anon.	Anon.	\N	0	 
64392	Anon.	Anon.	\N	0	 
64393	Anon.	Anon.	\N	0	 
64394	Anon.	Anon.	\N	0	 
64395	Anon.	Anon.	\N	0	 
64396	Anon.	Anon.	\N	0	 
64397	Anon.	Anon.	\N	0	 
64398	Anon.	Anon.	\N	0	 
64399	Anon.	Anon.	\N	0	 
64400	Anon.	Anon.	\N	0	 
64401	Anon.	Anon.	\N	0	 
64402	Anon.	Anon.	\N	0	 
64403	Anon.	Anon.	\N	0	 
64404	Anon.	Anon.	\N	0	 
64405	Anon.	Anon.	\N	0	 
64406	Anon.	Anon.	\N	0	 
64407	Anon.	Anon.	\N	0	 
64408	Anon.	Anon.	\N	0	 
64409	Anon.	Anon.	\N	0	 
64410	Anon.	Anon.	\N	0	 
64411	Anon.	Anon.	\N	0	 
64412	Anon.	Anon.	\N	0	 
64413	Anon.	Anon.	\N	0	 
64414	Anon.	Anon.	\N	0	 
64415	Anon.	Anon.	\N	0	 
64416	Anon.	Anon.	\N	0	 
64417	Anon.	Anon.	\N	0	 
64418	Anon.	Anon.	\N	0	 
64419	Anon.	Anon.	\N	0	 
64420	Anon.	Anon.	\N	0	 
64421	Anon.	Anon.	\N	0	 
64422	Anon.	Anon.	\N	0	 
64423	Anon.	Anon.	\N	0	 
64424	Anon.	Anon.	\N	0	 
64425	Anon.	Anon.	\N	0	 
64426	Anon.	Anon.	\N	0	 
64427	Anon.	Anon.	\N	0	 
64428	Anon.	Anon.	\N	0	 
64429	Anon.	Anon.	\N	0	 
64430	Anon.	Anon.	\N	0	 
64431	Anon.	Anon.	\N	0	 
64432	Anon.	Anon.	\N	0	 
64433	Anon.	Anon.	\N	0	 
64434	Anon.	Anon.	\N	0	 
64435	Anon.	Anon.	\N	0	 
64436	Anon.	Anon.	\N	0	 
64437	Anon.	Anon.	\N	0	 
64438	Anon.	Anon.	\N	0	 
64439	Anon.	Anon.	\N	0	 
64440	Anon.	Anon.	\N	0	 
64441	Anon.	Anon.	\N	0	 
64442	Anon.	Anon.	\N	0	 
64443	Anon.	Anon.	\N	0	 
64444	Anon.	Anon.	\N	0	 
64445	Anon.	Anon.	\N	0	 
64446	Anon.	Anon.	\N	0	 
64447	Anon.	Anon.	\N	0	 
64448	Anon.	Anon.	\N	0	 
64449	Anon.	Anon.	\N	0	 
