*Antliodus*,*similis*,*Subcarboniferous (Keokuk); Illinois, Indiana*
*Antliodus*,*simplex*,*Subcarboniferous (Burlington); Iowa*
*Antliodus*,*sulcatus*,*Subcarboniferous (Keokuk); Illinois*
*Antrodemus*,*lucaris*,*Jurassic; Colorado*
*Antrodemus*,*medius*,*Jurassic (Potomac); Maryland*
*Antrodemus*,*valens*,*Jurassic; Colorado*
*Apateacanthus*,*vetustus*,*Devonian (Genesee); New York*
*Apatemys*,*bellulus*,*Eocene (Bridger); Wyoming*
*Apatemys*,*bellus*,*Eocene (Bridger); Wyoming*
*Apatichnus*,*bellus*,*Triassic; Massachusetts*
*Apatichnus*,*circumagens*,*Triassic; Massachusetts*
*Apatichnus*,*crassus*,*Triassic; New Jersey*
*Apatichnus*,*holyokensis*,*Triassic; Massachusetts*
*Apatodon*,*mirus*,*Jurassic; Rocky Mountain region*
*Apatornis*,*celer*,*Cretaceous (Niobrara); Kansas*
*Apatosaurus*,*ajax*,*Jurassic; Colorado*
*Apatosaurus*,*laticollis*,*Jurassic; Colorado*
*Apedodus*,*priscus*,*Devonian (Catskill); Pennsylvania*
*Aphelichthys*,*lindahlii*,*Pliocene or Pleistocene; S. Illinois*
*Apheliscus*,*insidiosus*,*Eocene; New Mexico*
*Aphelophis*,*talpivorus*,*Oligocene (White River); Colorado*
*Aphelops*,*crassus*,*Miocene (Loup Fork); Nebraska, Kansas, Colorado*
*Aphelops*,*jemezanus*,*Miocene (Loup Fork); New Mexico*
*Aphelops*,*malacorhinus*,*Miocene (Loup Fork); Kansas, Florida*
*Aphelops*,*matutinus*,*Miocene; New Jersey*
*Aphelops*,*megalodus*,*Miocene (Loup Fork); Colorado*
*Aphelops*,*meridianus*,*Miocene (Loup Fork); Texas, New Mexico*
*Aphelops*,*profectus*,*Miocene (Loup Fork); Colorado*
*Aphelops*,*superciliosus*,*Miocene (Loup Fork); Nebraska*
*Apsopelix*,*sauriformis*,*Cretaceous (Benton); Kansas*
*Aquila*,*danana*,*Pliocene?; Nebraska*
*Aquila*,*pliogryps*,*Pleistocene; Oregon*
*Aquila*,*sodalis*,*Pleistocene; Oregon*
*Arachnichnus*,*dehiscens*,*Triassic; Massachusetts*
*Archaelurus*,*debilis*,*Miocene (John Day); Oregon*
*Archaeobatis*,*gigas*,*Subcarboniferous (St. Louis); Indiana*
*Archaeobelus*,*vellicatus*,*Permian; Illinois*
*Archelon*,*ischyros*,*Cretaceous (Pierre); South Dakota*
*Archelon*,*marshii*,*Cretaceous (Pierre); South D kota*
*Arctodus*,*haplodon*,*Pleistocene (Port Kennedy Cave); Pennsylvania*
*Arctodus*,*pristinus*,*Pleistocene; South Carolina*
*Arctodus*,*simus*,*Pleistocene; California*
*Arctomys*,*monax*,*Recent; United States to Hudson Bay: Pleistocene; Illinois, Virginia*
*Arctomys*,*tortus*,*Pleistocene; Virginia*
*Arctomys*,*vetus*,*Miocene (Loup Fork); Nebraska*
*Arctosaurus*,*osborni*,*Mesozoic; Bathurst Island*
*Ardea*,*paloccidentalis*,*Pleistocene; Oregon*
*Argoides*,*isodactylatus*,*Triassic; Massachusetts, Connecticut*
*Argoides*,*robustus*,*Triassic: Massachusetts*
*Argoides*,*macrodactylatus*,*Triassic; Massachusetts, Connecticut, New Jersey*
*Argoides*,*redfieldianus*,*Triassic; Massachusetts*
*Artediellus*,*atlanticus*,*Recent; Labrador to Cape Cod: Pleistocene; Canada*
*Asineops*,*pauciradiatus*,*Eocene (Green River); Wyoming*
*Asineops*,*squamifrons*,*Eocene (Green River); Wyoming*
*Aspidichthys*,*clavatus*,*Devonian (Cleveland shale); Ohio: (Portage); New York*
*Asteroptychius*,*bellulus*,*Coal-measures: Illinois, Iowa*
*Asteroptychius*,*elegans*,*Subcarboniferous (Waverly); Michigan*
*Asteroptychius*,*gracilis*,*Subcarboniferous (St. Louis); Illinois*
*Asteroptychius*,*keokuk*,*Subcarboniferous (Keokuk); Illinois*
*Asteroptychius*,*sancti-ludovici*,*Subcarboniferous (St. Louis); Illinois, Missouri*
*Asteroptychius*,*tenellus*,*Coal-measures: Kansas*
*Asteroptychius*,*tenuis*,*Subcarboniferous (Chester); Illinois*
*Asteroptychius*,*triangularis*,*Subcarboniferous (Burlington): Iowa*
*Asteroptychius*,*vetustus*,*Subcarboniferous (Kinderhook); Iowa*
*Asterosteus*,*stenocephalus*,*Devonian (Corniferous): Ohio*
*Asthenodon*,*segnis*,*Jurassic; Wyoming*
*Astraspis*,*desiderata*,*Silurian (Ordovician); Colorado*
*Astrodon*,*johnstoni*,*Jurassic (Potomac); Maryland*
*Athya*,*marila*,*Recent; North America: Pleistocene; Oregon*
*Atlantochelys*,*mortoni*,*Cretaceous; New Jersey*
*Atlantosaurus*,*immanis*,*Jurassic; Wyoming, Colorado*
*Atlantosaurus*,*montanus*,*Jurassic; Colorado*
*Axestemys*,*byssinus*,*Eocene (Bridger); Wyoming*
*Bae%Fna*,*arenosa*,*Eocene (Bridger); Wyoming: (Wasatch); New Mexico*
*Bae%Fna*,*hebraica*,*Eocene (Bridger); Wyoming*
*Bae%Fna*,*ponderosa*,*Eocene (Bridger); Wyoming*
*Bae%Fna*,*undata*,*Eocene (Bridger); Wyoming*
*Balaena*,*affinis*,*Miocene; England, Maryland?, North Carolina*
*Balaenoptera*,*sursiplana*,*Miocene; Maryland*
*Baphetes*,*minor*,*Coal-measures; Nova Scotia*
*Baphetes*,*planiceps*,*Coal-measures; Nova Scotia*
*Baptanodon*,*discus*,*Jurassic; Wyoming*
*Baptanodon*,*natans*,*Jurassic; Wyoming*
*Baptemys*,*costilatus*,*Eocene (Wasatch); N. Mexico*
*Baptemys*,*wyomingensis*,*Eocene (Bridger); Wyoming*
*Baptemys*,*sp. indet.*,*Eocene (Wind River); Wyoming*
*Baptornis*,*advenus*,*Cretaceous (Niobrara); Kansas*
*Baptosaurus*,*fraternus*,*Cretaceous; New Jersey*
*Baptosaurus*,*onchognathus Merriam*,*Cretaceous (Niobrara); Kansas*
*Baptosaurus*,*platyspondylus*,*Cretaceous; New Jersey*
*Baropus*,*lentus*,*Coal-measures; Kansas*
*Barornis*,*regens*,*Eocene; New Jersey*
*Barosaurus*,*affinis*,*Jurassic; Wyoming*
*Barosaurus*,*lentus*,*Jurassic; South Dakota*
*Bascanion*,*acuminatus*,*Pleistocene; Pennsylvania*
*Basilemys*,*imbricarius*,*Cretaceous (Laramie); Montana*
*Basilemys*,*variolosus*,*Cretaceous (Laramie); Saskatchewan, Montana*
*Basilosaurus*,*brachyspondylus*,*Eocene; Alabama*
*Basilosaurus*,*cetoides*,*Eocene; Alabama, Mississippi, Louisiana, Arkansas, Florida, North Carolina*
*Bassariscus*,*astutus*,*Recent; Mexico to Oregon.  Pleistocene (Port Kennedy); Pennsylvania, fide Cope*
*Batacanthus*,*baculiformis*,*Subcarboniferous (Keokuk); Iowa, Missouri, Illinois*
*Batacanthus*,*necis*,*Subcarboniferous (Keokuk); Iowa*
*Batacanthus*,*stellatus*,*Subcarboniferous (Keokuk); Illinois, Missouri (fide Hambach)*
*Bathrodon*,*annectens*,*Eocene (Bridger); Wyoming*
*Bathrodon*,*typus*,*Eocene (Bridger); Wyoming*
*Bathygnathus*,*borealis*,*Triassic; Prince Edwards Island*
*Bathyopsis*,*fissidens*,*Eocene (Wind River); Wyoming*
*Batodon*,*tenuis*,*Cretaceous (Laramie); Wyoming*
*Batrachichnus*,*plainvillensis*,*Carboniferous; Massachusetts*
*Batrachoides*,*nidificans*,*Triassic; Massachusetts*
*Batrachopus*,*deweyanus*,*Triassic; Connecticut*
*Batrachopus*,*gracilis*,*Triassic; Massachusetts, New Jersey, Pennsylvania*
*Batrachopus*,*gracilior*,*Triassic; Massachusetts*
*Beryx*,*insculptus*,*Cretaceous; New Jersey*
*Bison*,*alleni*,*Miocene (Loup Fork; Kansas, Oklahoma, Idaho*
*Bison*,*antiquus*,*Pleistocene; Kentucky, Virginia?, Illinois?, California*
*Bison*,*bison*,*Within recent times occupying a large portion of N. America.  Pleistocene; Illinois, Iowa, Wisconsin*
*Bison*,*ferox*,*Miocene (Loup Fork); Nebraska*
*Bison*,*latifrons*,*Pleistocene; Kentucky, South Carolina?, Mississippi, Ohio, Georgia?, Texas, Florida, Arizona, Mexico*
*Bison*,*occidentalis*,*Pleistocene; Alaska, Kansas*
*Bison*,*crassicornis*,*Pleistocene; Alaska*
*Blarina*,*simplicidens*,*Pleistocene; Pennsylvania*
*Blastomeryx*,*antilopinus*,*Miocene (Loup Fork); Montana*
*Blastomeryx*,*borealis*,*Miocene (Loup Fork); Montana, Oregon*
*Blastomeryx*,*gemmifer*,*Miocene (Loup Fork); Colorado, Texas?, New Mexico, Nebraska*
*Boavus*,*agilis*,*Eocene (Bridger); Wyoming*
*Boavus*,*brevis*,*Eocene (Bridger); Wyoming*
*Boavus*,*occidentalis*,*Eocene (Bridger); Wyoming*
*Bolbodon*,*tenuitectus*,*Permian; Texas*
*Bolosaurus*,*striatus*,*Permian; Texas*
*Borophagus*,*diversidens*,*Pliocene (Blanco); Texas*
*Bothremys*,*cookii*,*Cretaceous (Green-sand No. 4); New Jersey*
*Bothriolepis*,*canadensis*,*Devonian; Province of Quebec, Canada*
*Bothriolepis*,*minor*,*Devonian (Chemung); Pennsylvania*
*Bothriolepis*,*nitida*,*Devonian (Catskill); Pennsylvania, New York*
*Bothrolabis*,*pristinus*,*Miocene (John Day); Oregon*
*Bothrolabis*,*rostratus*,*Miocene (John Day); Oregon*
*Bothrolabis*,*subaequans*,*Miocene (John Day); Oregon*
*Bothrolabis*,*trichaenus*,*Miocene (John Day); Oregon*
*Bottosaurus*,*harlani*,*Cretaceous; New Jersey*
*Bottosaurus*,*perrugosus*,*Cretaceous; Colorado, British America?*
