92,430,*Reptilia*,*Faunal list*,*Cretaceous*
92,440,*Cretaceous*,*Mammalia*,*New Mexico*
92,440,*Cretaceous*,*Reptilia*,*New Mexico*
92,440,*Mammalia*,*Occurrence*,*Cretaceous-Paleocene*
92,440,*New Mexico*,*Areal geology*,*Guidebooks*
92,440,*New Mexico*,*Mammalia*,*Cretaceous-Paleocene*
92,440,*New Mexico*,*Reptilia*,*Cretaceous*
92,440,*Paleocene*,*Mammalia*,*New Mexico*
92,440,*Reptilia*,*Occurrence*,*Cretaceous*
92,450,*Cretaceous*,*Areal geology*,*New Mexico*
92,450,*New Mexico*,*Areal geology*,*Cretaceous*
92,450,*Reptilia*,*Occurrence*,*Cretaceous*
92,460,*Cretaceous*,*Reptilia*,*New Mexico*
92,460,*New Mexico*,*Reptilia*,*Cretaceous*
92,460,*Reptilia*,*Ornithischia*,*Cretaceous*
92,470,*Acronyms:NMMNH*,**,**
92,470,*New Mexico*,*Tetrapoda*,*Pennsylvanian*
92,470,*Pennsylvanian*,*Tetrapoda*,*New Mexico*
92,470,*Tetrapoda*,*Occurrence*,*Pennsylvanian*
92,480,*Acronyms:AMNH*,**,**
92,480,*Acronyms:CM*,**,**
92,480,*Acronyms:NMMNH*,**,**
92,480,*Acronyms:UCMP*,**,**
92,480,*Acronyms:USNM*,**,**
92,480,*Amphibia*,*Temnospondyli*,*Triassic*
92,480,*Coprolites*,*Triassic*,*New Mexico*
92,480,*New Mexico*,*Coprolites*,*Triassic*
92,480,*New Mexico*,*Stratigraphy*,*Triassic*
92,480,*New Mexico*,*Vertebrata*,*Triassic*
92,480,*Osteichthyes*,*Faunal studies*,*Triassic*
92,480,*Reptilia*,*Faunal studies*,*Triassic*
92,480,*Triassic*,*Coprolites*,*New Mexico*
92,480,*Triassic*,*Stratigraphy*,*New Mexico*
92,480,*Triassic*,*Vertebrata*,*New Mexico*
92,490,*Acronyms:AMNH*,**,**
92,490,*Acronyms:KU*,**,**
92,490,*Acronyms:NMMNH*,**,**
92,490,*Acronyms:USNM*,**,**
92,490,*Acronyms:YPM*,**,**
92,490,*Amphibia*,*Faunal list*,*Cretaceous*
92,490,*Chondrichthyes*,*Faunal list*,*Cretaceous*
92,490,*Cretaceous*,*Faunal list*,*New Mexico*
92,490,*Cretaceous*,*Stratigraphy*,*New Mexico*
92,490,*Mammalia*,*Faunal list*,*Cretaceous*
92,490,*New Mexico*,*Faunal list*,*Cretaceous*
92,490,*New Mexico*,*Stratigraphy*,*Cretaceous*
92,490,*Osteichthyes*,*Faunal list*,*Cretaceous*
92,490,*Reptilia*,*Faunal list*,*Cretaceous*
92,500,*Catalogues*,*Reptilia*,*Palaeontological Museum, Univ. Uppsala*
92,500,*History*,*Collecting*,*San Juan Basin*
92,510,*Acronyms:AMNH*,**,**
92,510,*Acronyms:MCZ*,**,**
92,510,*Acronyms:NMMNH*,**,**
92,510,*Acronyms:PMU.R*,**,**
92,510,*Acronyms:UCMP*,**,**
92,510,*Cretaceous*,*Reptilia*,*New Mexico*
92,510,*New Mexico*,*Reptilia*,*Cretaceous-Paleogene*
92,510,*Paleogene*,*Reptilia*,*New Mexico*
92,510,*Reptilia*,*Crocodilia*,*Cretaceous-Paleogene*
92,520,*Acronyms:AMNH*,**,**
92,520,*Acronyms:NMMNH*,**,**
92,520,*Mammalia*,*Biostratigraphy*,*Paleocene*
92,520,*Mammalia*,*Faunal list*,*Paleocene*
92,520,*New Mexico*,*Faunal list*,*Paleocene*
92,520,*New Mexico*,*Stratigraphy*,*Paleocene*
92,520,*Paleocene*,*Faunal list*,*New Mexico*
92,520,*Paleocene*,*Stratigraphy*,*New Mexico*
92,530,*Acronyms:NMMNH*,**,**
92,530,*Eocene*,*Geochronology*,*New Mexico*
92,530,*Mammalia*,*Biostratigraphy*,*Eocene*
92,530,*New Mexico*,*Geochronology*,*Eocene*
92,540,*Mammalia*,*Occurrence*,*Quaternary*
92,540,*New Mexico*,*Mammalia*,*Quaternary*
92,540,*Quaternary*,*Mammalia*,*New Mexico*
92,550,*Biography*,*General*,*Ja%Anossy, D.*
92,560,*Hungary*,*Mammalia*,*Pleistocene*
92,560,*Mammalia*,*Rodentia*,*Pleistocene*
92,560,*Pleistocene*,*Mammalia*,*Hungary*
92,570,*Austria*,*Faunal list*,*Triassic*
92,570,*Italy*,*Faunal list*,*Triassic*
92,570,*Osteichthyes*,*Faunal list*,*Triassic*
92,570,*Reptilia*,*Faunal list*,*Triassic*
92,570,*Switzerland*,*Faunal list*,*Triassic*
92,570,*Taphonomy*,*Triassic*,*Europe*
92,570,*Triassic*,*Faunal list*,*Austria*
92,570,*Triassic*,*Faunal list*,*Italy*
92,570,*Triassic*,*Faunal list*,*Switzerland*
92,580,*Italy*,*Reptilia*,*Triassic*
92,580,*Reptilia*,*Neodiapsida*,*Triassic*
92,580,*Triassic*,*Reptilia*,*Italy*
92,590,*Acronyms:PIN*,**,**
92,590,*Amphibia*,*Anthracosauria*,*Triassic*
92,590,*Russia*,*Amphibia*,*Triassic*
92,590,*Triassic*,*Amphibia*,*Russia*
92,600,*Amphibia*,*Biostratigraphy*,*Triassic*
92,600,*Reptilia*,*Biostratigraphy*,*Triassic*
92,600,*Russia*,*Amphibia*,*Triassic*
92,600,*Russia*,*Reptilia*,*Triassic*
92,600,*Triassic*,*Amphibia*,*Russia*
92,600,*Triassic*,*Reptilia*,*Russia*
92,610,*Acronyms:PIN*,**,**
92,610,*Reptilia*,*Thecodontia*,*Triassic*
92,610,*Russia*,*Reptilia*,*Triassic*
92,610,*Triassic*,*Reptilia*,*Russia*
92,620,*Agnatha*,*Heterostraci*,*Devonian*
92,620,*Devonian*,*Agnatha*,*Kazakhstan*
92,620,*Kazakhstan*,*Agnatha*,*Devonian*
92,630,*Carboniferous*,*Osteichthyes*,*Russia*
92,630,*Osteichthyes*,*Palaeonisciformes*,*Carboniferous*
92,630,*Russia*,*Osteichthyes*,*Carboniferous*
92,640,*Acronyms:AMNH*,**,**
92,640,*Acronyms:LACM*,**,**
92,640,*Acronyms:UCMP*,**,**
92,640,*Acronyms:UCR*,**,**
92,640,*California*,*Mammalia*,*Miocene*
92,640,*Mammalia*,*Artiodactyla*,*Miocene*
92,640,*Mammalia*,*Biostratigraphy*,*Miocene*
92,640,*Miocene*,*Mammalia*,*California*
92,650,*Biography*,*Obituary*,*Piveteau, J.*
92,660,*Biography*,*General*,*Piveteau, J.*
92,660,*History*,*Paleoanthropology*,*France*
92,670,*Biography*,*General*,*Piveteau, J.*
92,680,*Biography*,*General*,*Piveteau, J.*
92,680,*History*,*Paleontology*,*Symposia*
92,690,*Biography*,*General*,*Piveteau, J.*
92,690,*History*,*Paleontology*,*France*
92,700,*History*,*Paleontology*,*Publications*
92,710,*History*,*Paleoanthropology*,*Piveteau, J.*
92,720,*Bibliography*,*Piveteau, J.*,*Paleontology*
92,730,*Eocene*,*Vertebrata*,*Wyoming*
92,730,*Vertebrata*,*Occurrence*,*Eocene*
92,730,*Wyoming*,*Vertebrata*,*Eocene*
92,740,*Eocene*,*Mammalia*,*Wyoming*
92,740,*Mammalia*,*Biostratigraphy*,*Eocene*
92,740,*Wyoming*,*Mammalia*,*Eocene*
92,750,*Eocene*,*Vertebrata*,*Wyoming*
92,750,*Vertebrata*,*Ocurrence*,*Eocene*
92,750,*Wyoming*,*Vertebrata*,*Eocene*
92,760,*History*,*Collecting*,*New Mexico*
92,760,*New Mexico*,*Reptilia*,*Permian-Triassic*
92,760,*Permian*,*Reptilia*,*New Mexico*
92,760,*Reptilia*,*Occurrence*,*Permian-Triassic*
92,760,*Triassic*,*Reptilia*,*New Mexico*
92,770,*Azerbaydzhan*,*Osteichthyes*,*Miocene*
92,770,*Miocene*,*Osteichthyes*,*Azerbaydzhan*
92,770,*Osteichthyes*,*Occurrence*,*Miocene*
92,780,*Acronyms:LACM*,**,**
92,780,*Acronyms:UCMP*,**,**
92,780,*Mammalia*,*Carnivora*,*Miocene*
92,780,*Miocene*,*Mammalia*,*Oregon*
92,780,*Oregon*,*Mammalia*,*Miocene*
92,790,*Biography*,*Obituary*,*Glaessner, M. F.*
92,800,*Acronyms:PSS*,**,**
92,800,*Cretaceous*,*Mammalia*,*Mongolia*
92,800,*Mammalia*,*Eutheria*,*Cretaceous*
92,800,*Mongolia*,*Mammalia*,*Cretaceous*
92,800,*Morphology*,*Eutheria*,*Jaws*
92,810,*Germany*,*Faunal list*,*Oligocene*
92,810,*Germany*,*Mammalia*,*Oligocene*
92,810,*Mammalia*,*Artiodactyla*,*Oligocene*
92,810,*Mammalia*,*Faunal list*,*Oligocene*
92,810,*Mammalia*,*Sirenia*,*Oligocene*
92,810,*Oligocene*,*Faunal list*,*Germany*
92,810,*Oligocene*,*Mammalia*,*Germany*
92,810,*Osteichthyes*,*Faunal list*,*Oligocene*
92,810,*Reptilia*,*Faunal list*,*Oligocene*
92,820,*Devonian*,*Faunal list*,*Germany*
92,820,*Germany*,*Faunal list*,*Devonian*
92,820,*Pisces*,*Faunal list*,*Devonian*
92,830,*Morphology*,*Rodentia*,*Teeth*
92,830,*Paleontology*,*Techniques*,*Measurement*
92,840,*Europe*,*Mammalia*,*Oligocene*
92,840,*Mammalia*,*Rodentia*,*Oligocene*
92,840,*Morphology*,*Rodentia*,*Numerical analysis*
92,840,*Oligocene*,*Mammalia*,*Europe*
92,850,*Germany*,*Mammalia*,*Paleogene*
92,850,*Mammalia*,*Rodentia*,*Paleogene*
92,850,*Morphology*,*Rodentia*,*Skeletons*
92,850,*Paleogene*,*Mammalia*,*Germany*
92,860,*Germany*,*Faunal list*,*Permian*
92,860,*Germany*,*Paleoenvironment*,*Permian*
92,860,*Permian*,*Faunal list*,*Germany*
92,860,*Permian*,*Paleoenvironment*,*Germany*
92,860,*Pisces*,*Faunal list*,*Permian*
92,870,*Acronyms:NSM*,**,**
92,870,*Japan*,*Osteichthyes*,*Miocene*
92,870,*Miocene*,*Osteichthyes*,*Japan*
92,870,*Osteichthyes*,*Pleuronectiformes*,*Miocene*
92,880,*Europe*,*Mammalia*,*Quaternary*
92,880,*Mammalia*,*Rodentia*,*Quaternary*
92,880,*Quaternary*,*Mammalia*,*Europe*
92,890,*Canary Islands*,*Reptilia*,*Holocene*
92,890,*Holocene*,*Reptilia*,*Canary Islands*
92,890,*Reptilia*,*Squamata*,*Holocene*
92,900,*Canary Islands*,*Mammalia*,*Pleistocene*
92,900,*Mammalia*,*Insectivora*,*Pleistocene*
92,900,*Pleistocene*,*Mammalia*,*Canary Islands*
92,910,*Acronyms:AMNH*,**,**
92,910,*Acronyms:ROM*,**,**
92,910,*Colorado*,*Ichnofossils*,*Cretaceous*
92,910,*Cretaceous*,*Ichnofossils*,*Western U.S.A.*
92,910,*Cretaceous*,*Reptilia*,*Western U.S.A.*
92,910,*Ichnofossils*,*Cretaceous*,*Western U.S.A.*
92,910,*Reptilia*,*Dinosauria*,*Cretaceous*
92,910,*Utah*,*Ichnofossils*,*Cretaceous*
92,910,*Wyoming*,*Ichnofossils*,*Cretaceous*
92,910,*Wyoming*,*Reptilia*,*Cretaceous*
92,920,*England*,*Reptilia*,*Jurassic*
92,920,*Jurassic*,*Reptilia*,*England*
92,920,*Reptilia*,*Saurischia*,*Jurassic*
92,930,*Acronyms:USNM*,**,**
92,930,*England*,*Reptilia*,*Jurassic*
92,930,*Jurassic*,*Reptilia*,*England*
92,930,*Reptilia*,*Rhynchocephalia*,*Jurassic*
92,940,*Amphibia*,*Faunal list*,*Jurassic*
92,940,*England*,*Faunal list*,*Jurassic*
92,940,*Jurassic*,*Faunal list*,*England*
92,940,*Mammalia*,*Faunal list*,*Jurassic*
92,940,*Reptilia*,*Faunal list*,*Jurassic*
92,950,*Acronyms:SEKC*,**,**
92,950,*England*,*Reptilia*,*Jurassic*
92,950,*Jurassic*,*Reptilia*,*England*
92,950,*Reptilia*,*Paleobiology*,*Predation*
92,950,*Reptilia*,*Plesiosauria*,*Jurassic*
92,960,*Africa*,*Mammalia*,*Pliocene-Quaternary*
92,960,*Mammalia*,*Artiodactyla*,*Pliocene-Quaternary*
92,960,*Mammalia*,*Paleoenvironment*,*Africa*
92,960,*Pliocene*,*Mammalia*,*Africa*
92,960,*Quaternary*,*Mammalia*,*Africa*
92,970,*Acronyms:NSM*,**,**
92,970,*Japan*,*Osteichthyes*,*Neogene*
92,970,*Neogene*,*Osteichthyes*,*Japan*
92,970,*Osteichthyes*,*Perciformes*,*Neogene*
92,970,*Osteichthyes*,*Scorpaeniformes*,*Neogene*
92,980,*Acronyms:NSM*,**,**
92,980,*Japan*,*Mammalia*,*Neogene*
92,980,*Mammalia*,*Carnivora*,*Neogene*
92,980,*Mammalia*,*Cetacea*,*Neogene*
92,980,*Neogene*,*Mammalia*,*Japan*
92,990,*Acronyms:UF*,**,**
92,990,*Acronyms:USNM*,**,**
92,990,*Florida*,*Reptilia*,*Pliocene*
92,990,*Pliocene*,*Reptilia*,*Florida*
92,990,*Reptilia*,*Chelonia*,*Pliocene*
92,1000,*Acronyms:KNM*,**,**
92,1000,*Kenya*,*Reptilia*,*Miocene*
92,1000,*Miocene*,*Reptilia*,*Kenya*
92,1000,*Reptilia*,*Squamata*,*Miocene*
92,1010,*Acronyms:MSUVP*,**,**
92,1010,*Acronyms:USNM*,**,**
92,1010,*Amphibia*,*Anura*,*Miocene*
92,1010,*Miocene*,*Amphibia*,*Nebraska*
92,1010,*Nebraska*,*Amphibia*,*Miocene*
92,1020,*Amphibia*,*Anura*,*Pleistocene*
92,1020,*England*,*Amphibia*,*Pleistocene*
92,1020,*England*,*Reptilia*,*Pleistocene*
92,1020,*Pleistocene*,*Amphibia*,*England*
92,1020,*Pleistocene*,*Reptilia*,*England*
92,1020,*Reptilia*,*Chelonia*,*Pleistocene*
92,1020,*Reptilia*,*Squamata*,*Pleistocene*
92,1030,*Acronyms:UMMP*,**,**
92,1030,*Osteichthyes*,*Paleobiology*,*Hybridization*
92,1030,*Osteichthyes*,*Teleostei*,*Phylogeny*
92,1040,*Mammalia*,*Eutheria*,*Phylogeny*
92,1040,*Phylogeny*,*Methods*,*Cladistic*
92,1050,*India*,*Biogeography*,*Continental drift*
92,1050,*Pakistan*,*Biogeography*,*Continental drift*
92,1060,*Evolution*,*Mammalia*,*Phylogeny*
92,1060,*Mammalia*,*Evolution*,*Taxonomy*
92,1070,*Aves*,*Evolution*,*Phylogeny*
92,1070,*Morphology*,*Aves*,*Numerical analysis*
92,1070,*Paleontology*,*Techniques*,*Morphometrics*
92,1080,*Mammalia*,*Evolution*,*Taxonomy*
92,1090,*Osteichthyes*,*Teleostei*,*Phylogeny*
92,1090,*Taxonomy*,*Methods*,*Use of fossils*
92,1100,*Cretaceous*,*Osteichthyes*,*Slovakia*
92,1100,*Osteichthyes*,*Occurrence*,*Cretaceous*
92,1100,*Slovakia*,*Osteichthyes*,*Cretaceous*
92,1110,*Amphibia*,*Anthracosauria*,*Permian*
92,1110,*Czech Republic*,*Amphibia*,*Permian*
92,1110,*Morphology*,*Amphibia*,*Skulls*
92,1110,*Permian*,*Amphibia*,*Czech Republic*
92,1120,*Amphibia*,*Anthracosauria*,*Permian*
92,1120,*Czech Republic*,*Amphibia*,*Permian*
92,1120,*Czech Republic*,*Pisces*,*Permian*
92,1120,*Permian*,*Amphibia*,*Czech Republic*
92,1120,*Pisces*,*Occurrence*,*Permian*
92,1130,*Acronyms:MFM*,**,**
92,1130,*Chondrichthyes*,*Galeoidea*,*Miocene*
92,1130,*Japan*,*Chondrichthyes*,*Miocene*
92,1130,*Miocene*,*Chondrichthyes*,*Japan*
92,1130,*Morphology*,*Chondrichthyes*,*Dermal denticles*
92,1140,*Acronyms:CBMPV*,**,**
92,1140,*Acronyms:LACM*,**,**
92,1140,*Acronyms:MFM*,**,**
92,1140,*Acronyms:USNM*,**,**
