99,188,*ACCONCI, LUIGI*,**,**
99,189,*ACCONCI, LUIGI*,**,**
99,190,*ACCONCI, LUIGI*,**,**
99,191,*ACHENBACH, ADOLF*,**,**
99,192,*ACHENBACH, ADOLF*,**,**
99,193,*ACHIARDI, ANTONIO d'*,**,**
99,194,*ACHIARDI, ANTONIO d'*,**,**
99,195,*ACHIARDI, A.*,**,**
99,195,*L. BUSATTI*,**,**
99,196,*ACKERMANN, KARL*,**,**
99,197,*ACKERMANN, KARL*,**,**
99,198,*ACKNER, MICHAEL JOHANN*,**,**
99,199,*ACKNER, MICHAEL JOHANN*,**,**
99,200,*ACKNER, MICHAEL JOHANN*,**,**
99,201,*ACKNER, MICHAEL JOHANN*,**,**
99,202,*ACKNER, MICHAEL JOHANN*,**,**
99,203,*ACKNER, MICHAEL JOHANN*,**,**
99,204,*ACLOQUE, A.*,*= ACEXANDRE*,**
99,205,*ACLOQUE, A.*,*= ACEXANDRE*,**
99,206,*ACTON, E. H.*,**,**
99,207,*ACY, ERNEST d'*,**,**
99,208,*ACY, ERNEST d'*,**,**
99,209,*ACY, ERNEST d'*,**,**
99,210,*ACY, ERNEST d'*,**,**
99,211,*ACY, ERNEST d'*,**,**
99,212,*ACY, ERNEST d'*,**,**
99,213,*ACY, ERNEST d'*,**,**
99,214,*ACY, ERNEST d'*,**,**
99,215,*ACY, ERNEST d'*,**,**
99,216,*ACY, ERNEST d'*,**,**
99,217,*ADAM, WALTER*,**,**
99,218,*ADAMETZ, LEOPOLD*,**,**
99,219,*ADAMETZ, LEOPOLD*,**,**
99,220,*ADAMETZ, LEOPOLD*,**,**
99,221,*ADAMETZ, LEOPOLD*,**,**
99,222,*ADAMETZ, LEOPOLD*,**,**
99,223,*ADAMETZ, LEOPOLD*,**,**
99,224,*ADAMETZ, LEOPOLD*,**,**
99,225,*ADAMETZ, LEOPOLD*,**,**
99,226,*ADAMETZ, L.*,**,**
99,226,*E. von LUBICZ NIEZABITOWSKI*,**,**
99,227,*ADAMS, ANDREW LEITH*,**,**
99,228,*ADAMS, ANDREW LEITH*,**,**
99,229,*ADAMS, ANDREW LEITH*,**,**
99,230,*ADAMS, ANDREW LEITH*,**,**
99,231,*ADAMS, ANDREW LEITH*,**,**
99,232,*ADAMS, ANDREW LEITH*,**,**
99,233,*ADAMS, ANDREW LEITH*,**,**
99,234,*ADAMS, ANDREW LEITH*,**,**
99,235,*ADAMS, ANDREW LEITH*,**,**
99,236,*ADAMS, ANDREW LEITH*,**,**
99,237,*ADAMS, ANDREW LEITH*,**,**
99,238,*ADAMS, ANDREW LEITH*,**,**
99,239,*ADAMS, ANDREW LEITH*,**,**
99,240,*ADAMS, ANDREW LEITH*,**,**
99,241,*ADAMS, ANDREW LEITH*,**,**
99,242,*ADAMS, ANDREW LEITH*,**,**
99,243,*ADAMS, ANDREW LEITH*,**,**
99,244,*ADAMS, ANDREW LEITH*,**,**
99,245,*ADAMS, ANDREW LEITH*,**,**
99,246,*ADAMS, ANDREW LEITH*,**,**
99,247,*ADAMS, ANDREW LEITH*,**,**
99,248,*ADAMS, ANDREW LEITH*,**,**
99,249,*ADAMS, ANDREW LEITH*,**,**
99,250,*ADAMS, ANDREW LEITH*,**,**
99,251,*ADAMS, ANDREW LEITH*,**,**
99,252,*ADAMS, ANDREW LEITH*,**,**
99,253,*ADAMS, ANDREW LEITH*,**,**
99,254,*ADAMS, ANDREW LEITH*,**,**
99,255,*ADAMS, ANDREW LEITH*,**,**
99,256,*ADAMS, ANDREW LEITH*,**,**
99,257,*ADAMS, ANDREW LEITH*,**,**
99,258,*ADAMS, ANDREW LEITH*,**,**
99,259,*ADAMS, ANDREW LEITH*,**,**
99,260,*ADAMS, ANDREW LEITH*,**,**
99,261,*ADAMS, ANDREW LEITH*,**,**
99,262,*ADAMS, A.LEITH*,**,**
99,262,*G. H. KINAHAN*,**,**
99,262,*R. J. USSHER*,**,**
99,263,*ADAMS, CHARLES BAKER*,**,**
99,264,*ADAMS, GEORGE IRVING*,**,**
99,265,*ADAMS, GEORGE IRVING*,**,**
99,266,*ADAMS, GEORGE IRVING*,**,**
99,267,*ADAMS, GEORGE IRVING*,**,**
99,268,*ADAMS, JOHN (Rev.)*,**,**
99,269,*ADAMS, LEVERETT ALLEN*,**,**
99,270,*ADAMS, MICHAEL F.*,**,**
99,271,*ADAMS, WILLIAM*,**,**
99,272,*ADAMS, WILLIAM*,**,**
99,273,*ADAMS, WILLIAM*,**,**
99,274,*ADAMS, WILLIAM HENRY DAVENPORT*,**,**
99,275,*ADAMSON, SAMUEL A.*,**,**
99,276,*ADAMSON, SAMUEL A.*,**,**
99,277,*ADA%AN DE YARZA, RAMO%AN*,**,**
99,278,*ADA%AN DE YARZA, RAMO%AN*,**,**
99,279,*ADA%AN DE YARZA, RAMO%AN*,**,**
99,280,*ADELUNG, N.*,**,**
99,281,*ADHE%AMAR, JOSEPH*,**,**
99,282,*ADLERZ, G.*,**,**
99,283,*ADLOFF, PAUL*,**,**
99,284,*ADLOFF, PAUL*,**,**
99,285,*ADLOFF, PAUL*,**,**
99,286,*ADLOFF, PAUL*,**,**
99,287,*ADLOFF, PAUL*,**,**
99,288,*ADLOFF, PAUL*,**,**
99,289,*ADLOFF, PAUL*,**,**
99,290,*ADLOFF, PAUL*,**,**
99,291,*ADLOFF, PAUL*,**,**
99,292,*ADLOFF, PAUL*,**,**
99,293,*ADLOFF, PAUL*,**,**
99,294,*ADLOFF, PAUL*,**,**
99,295,*ADLOFF, PAUL*,**,**
99,296,*ADLOFF, PAUL*,**,**
99,297,*ADLOFF, PAUL*,**,**
99,298,*ADLOFF, PAUL*,**,**
99,299,*ADLOFF, PAUL*,**,**
99,300,*ADLOFF, PAUL*,**,**
99,301,*ADLOFF, PAUL*,**,**
99,302,*ADLOFF, PAUL*,**,**
99,303,*ADLOFF, PAUL*,**,**
99,304,*ADLOFF, PAUL*,**,**
99,305,*ADLOFF, PAUL*,**,**
99,306,*ADOLPHI, HERMANN*,**,**
99,307,*ADRIANOV, A. V.*,*= ALEKSANDR VASIL'YEVICH*,**
99,308,*ADRIAN-WERBURG, von*,**,**
99,309,*AEBY, CHR*,*= CHRISTOPH THEODOR*,**
99,310,*AFRICANUS, PETER*,**,**
99,311,*AGASSIZ, ALEXANDER*,**,**
99,312,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,313,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,314,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,315,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,316,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,317,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,318,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,319,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,320,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,321,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,322,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,323,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,324,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,325,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,326,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,327,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,328,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,329,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,330,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,331,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,332,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,333,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,334,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,335,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,336,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,337,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,338,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,339,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,340,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,341,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,342,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,343,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,344,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,345,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,346,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,347,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,348,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,349,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,350,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
