64,202,*CAMARATE FRANC%BA, J.*,**,**
64,203,*ALMELA SAMPER, ANTONIO*,**,**
64,204,*ALONSO DEL REAL Y RAMOS, CARLOS*,**,**
64,205,*ALPYSBAEV, Kh. A.*,**,**
64,206,*ALPYSBAEV, Kh. A.*,**,**
64,207,*ALPYSBAEV, Kh. A.*,**,**
64,208,*ALPYSBAEV, Kh. A.*,**,**
64,209,*ALPYSBAEV, Kh. A.*,**,**
64,210,*ALPYSBAEV, Kh. A.*,**,**
64,211,*ALPYSBAEV, Kh. A.*,**,**
64,212,*ALPYSBAEV, Kh. K.*,**,**
64,213,*AL'TER, S. P.*,**,**
64,214,*ALTMEYER, HANS*,**,**
64,215,*ALTUNA, JESU%AS*,**,**
64,216,*ALTUNA, JESU%AS*,**,**
64,217,*ALTUNA, JESU%AS*,**,**
64,218,*ALTUNA, JESU%AS*,**,**
64,219,*ALVAREZ, TICUL*,**,**
64,220,*ALVAREZ, T.*,**,**
64,220,*FERRUSQUIA V., I.*,**,**
64,221,*AMADON, DEAN*,**,**
64,222,*AMBROSETTI, PIERLUIGI*,**,**
64,223,*AMBROSETTI, PIERLUIGI*,**,**
64,224,*AMBROSETTI, PIERLUIGI*,**,**
64,225,*AN, CHIH-MIN*,**,**
64,226,*AN, CHIH-MIN*,**,**
64,227,*AN, UZHI-SHEN*,**,**
64,228,*ANASTAS'EVA, O. M.*,**,**
64,229,*ANATI, E.*,**,**
64,229,*HAAS, N.*,**,**
64,230,*ANATOL'EVA, A. I.*,**,**
64,231,*ANCIAUX DE FAVEAUX, DOM ADALBERT*,**,**
64,232,*ANCIAUX DE FAVEAUX, DOM ADALBERT*,**,**
64,233,*AND%SELKOVIC%A, JELENA*,**,**
64,234,*AND%SELKOVIC%A, JELENA*,**,**
64,235,*AND%SELKOVIC%A, JELENA*,**,**
64,236,*AND%SELKOVIC%A, JELENA*,**,**
64,237,*ANDERSEN, BJO%FRN G.*,**,**
64,238,*ANDERSEN, RAOUL R.*,**,**
64,239,*ANDERSON, ALBERT J.*,**,**
64,240,*ANDERSON, DUANE C.*,**,**
64,241,*ANDERSON, EDWARD G.*,**,**
64,242,*ANDERSON, ELAINE*,**,**
64,243,*ANDERSON, ELAINE*,**,**
64,244,*ANDERSON, J. E.*,**,**
64,245,*ANDERSON, J. M.*,**,**
64,246,*ANDERSON, J. M.*,**,**
64,247,*ANDERSON, SYDNEY*,**,**
64,248,*ANDERSON, SYDNEY*,**,**
64,249,*ANDERSON, S.*,**,**
64,249,*JONES, J. K., JR., (eds.)*,**,**
64,250,*ANDREWS, ROY CHAPMAN*,**,**
64,251,*ANDREWS, S. M.*,**,**
64,251,*GARDINER, B. G.*,**,**
64,251,*MILES, R. S.*,**,**
64,251,*PATTERSON, C.*,**,**
64,252,*ANDRIANOV, K. S.*,**,**
64,253,*ANDRIEU, P.*,**,**
64,253,*DUBOIS, J.*,**,**
64,254,*ANDRIK, P.*,**,**
64,254,*HANULIK, M.*,**,**
64,254,*VITTEK, J.*,**,**
64,255,*ANDRIST, DAVID*,**,**
64,255,*FLU%FCKIGER, W.*,**,**
64,255,*ANDRIST, A.*,**,**
64,256,*DE LA SALLE ANGEL, BASILIO*,**,**
64,257,*DE LA SALLE ANGEL, BASILIO*,**,**
64,258,*ANGEL, J. LAWRENCE*,**,**
64,259,*ANGEL, J. LAWRENCE*,**,**
64,260,*ANGELL, CARLTON WATSON*,**,**
64,261,*ANGELOV, E. V.*,**,**
64,262,*ANGELROTH, HENRI*,**,**
64,263,*ANGELROTH, HENRI*,**,**
64,264,*ANGELROTH, HENRI*,**,**
64,265,*ANGELROTH, HENRI*,**,**
64,266,*ANGELROTH, HENRI*,**,**
64,267,*ANGHI, CSABA G.*,**,**
64,268,*ANGRESS, SHIMON*,**,**
64,268,*REED, C. A.*,**,**
64,269,*ANISIUTKIN, N. K.*,**,**
64,270,*ANISIUTKIN, N. K.*,**,**
64,271,*VON ANKEL, FRIDERUN*,**,**
64,272,*ANNELLI, F.*,**,**
64,273,*ANNIBALDI, G.*,**,**
64,273,*ANOKHINA, Z. V.*,**,**
64,274,*ANON.*,**,**
64,275,*ANON.*,**,**
64,276,*ANON.*,**,**
64,277,*ANON.*,**,**
64,278,*ANON.*,**,**
64,279,*ANON.*,**,**
64,280,*ANON.*,**,**
64,281,*ANON.*,**,**
64,282,*ANON.*,**,**
64,283,*ANON.*,**,**
64,284,*ANON.*,**,**
64,285,*ANON.*,**,**
64,286,*ANON.*,**,**
64,287,*ANON.*,**,**
64,288,*ANON.*,**,**
64,289,*ANON.*,**,**
64,290,*ANON.*,**,**
64,291,*ANON.*,**,**
