00073938	Spisanie na Bu%Rlgarskoto Geologichesko Druzhestvo = Review of the Bulgarian Geological Society	Sofiya, Bulgaria	Izdatelstvoto na Bu%Rlgarskata Akadimiya Naukite
00074802	Bulletin of Canadian Petroleum Geology	Calgary, AB, Canada	Canadian Society of Petroleum Geologists
00075167	Bulletin of Zoological Nomenclature	London, England	International Commission on Zoological Nomenclature
00075779	Bulletins of American Paleontology	Ithaca, NY, USA	Paleontological Research Institution
00076104	Bulletin du Bureau de Recherches Ge%Aologiques et Minie%Cres (France). Section 1: Ge%Aologie de la France (Serie 2)	Orleans, France	E%Aditions BRGM
00080241	Cahiers Ge%Aologiques	Paris, France	Association des Amis et Anciens E%Ale%Cves du Laboratoire de Ge%Aologie, Universite%A de Paris, Faculte%A des Sciences
00080594	Calcified Tissue Research	New York, NY, USA	Springer Verlag New York, Inc.
00081000	Bulletin -- California Division of Mines and Geology	Sacramento, CA, USA	California Division of Mines and Geology
00083550	Canadian Field-Naturalist	Ottawa, Canada	Ottawa Field-Naturalists' Club
00084077	Canadian Journal of Earth Sciences = Journal Canadien des Sciences de la Terre	Ottawa, Canada	National Research Council of Canada
00084301	Canadian Journal of Zoology = Journal Canadien de Zoologie	Ottawa, Canada	The National Research Council of Canada
00086452	Caribbean Journal of Science	Mayagu%Fez, Puerto Rico	University of Puerto Rico, Faculty of Arts and Sciences
00087351	C%Jasopis Na%Arodni%Aho Muzea v Praze, R%Jada Pr%Ji%Arodove%Jdna%A	Prague, Czechoslovakia	Na%rodni%A Muzeum v Praze, Vydavatelstvo Panorama
00087378	C%Jasopis pro Mineralogii a Geologii	Prague, Czechoslovakia	Societas Mineralogica et Geologica Bohemoslovaca
00089672	Bulletin du Centre de Recherches de Pau	Pau, France	Socie%Ate%As des Pe%Atroles d'Aquitaine
00090700	C%Jeskoslovensky%A C%Jasopis pro Fyziku. Sekce A	Prague, Czechoslovakia	C%Jeskoslovenska%A Akademie Ve%Jd.
00092347	Chemical & Engineering News	Washington, DC, USA	American Chemical Society
00092770	Chemicke%A Listy	Prague	C%Jeskoslovenska%A Spolec%Jnost Chemicka%A, Academia Publishers
00105422	Condor. Journal of the Cooper Ornithological Society	Lawrence, KS, USA	Allen Press, Inc.
00106275	Connoisseur	New York, NY, USA	Hearst Corporation
0010650X	The Conservationist	Albany, NY, USA	New York State Department of Environmental Conservation
00107980	Contributions to Geology, University of Wyoming	Laramie, WY, USA	The University of Wyoming, Department of Geology and Geophysics
00113069	Curator	New York, NY, USA	American Museum of Natural History
00113204	Current Anthropology	Chicago, IL, USA	University of Chicago Press for the Wenner-Gren Foundation of Anthropological Research
